Contrast,A,B,Paired,Parametric,T,dof,tail,p-unc,p-corr,p-adjust,BF10,CLES,none
Group,2015_3,2016_3,False,True,0.0900,104.5300,two-sided,0.9282,1.0000,bonf,0.177,0.5090,0.0150
Group,2015_3,2017_3,False,True,-0.7970,125.5100,two-sided,0.4271,1.0000,bonf,0.228,0.5320,-0.1280
Group,2015_3,2018_3,False,True,-1.0000,165.1900,two-sided,0.3186,1.0000,bonf,0.248,0.5290,-0.1460
Group,2015_3,2019_3,False,True,-2.5970,171.0600,two-sided,0.0102,0.1023,bonf,3.442,0.5860,-0.3610
Group,2016_3,2017_3,False,True,-0.7480,115.6800,two-sided,0.4561,1.0000,bonf,0.251,0.5370,-0.1370
Group,2016_3,2018_3,False,True,-0.9200,131.1000,two-sided,0.3593,1.0000,bonf,0.269,0.5430,-0.1510
Group,2016_3,2019_3,False,True,-2.3160,149.1200,two-sided,0.0219,0.2192,bonf,2.038,0.5950,-0.3450
Group,2017_3,2018_3,False,True,-0.1830,147.3800,two-sided,0.8553,1.0000,bonf,0.179,0.4980,-0.0290
Group,2017_3,2019_3,False,True,-1.6770,163.7800,two-sided,0.0954,0.9537,bonf,0.625,0.5580,-0.2450
Group,2018_3,2019_3,False,True,-1.5010,189.1200,two-sided,0.1350,1.0000,bonf,0.449,0.5630,-0.2140
